,sheet,row_id,code,pathogen,activity,item,item_value,timestamp
142,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MIC,3,128,2025-12-20_22:00:59
143,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MBC,1,128,2025-12-20_22:00:59
144,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MBC,2,128,2025-12-20_22:00:59
145,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MBC,3,128,2025-12-20_22:00:59
146,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MICb,1,-,2025-12-20_22:00:59
147,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MICb,2,-,2025-12-20_22:00:59
148,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),MICb,3,-,2025-12-20_22:00:59
149,1-6,15,I76DR_1037P1,Acinetobacter baumannii NCTC 13301 (OXA-23 + OXA-51-like),gentamicin,1,-,2025-12-20_22:00:59
150,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MIC,1,16,2025-12-20_22:00:59
151,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MIC,2,16,2025-12-20_22:00:59
152,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MIC,3,8,2025-12-20_22:00:59
153,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MBC,1,16,2025-12-20_22:00:59
154,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MBC,2,16,2025-12-20_22:00:59
155,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MBC,3,8,2025-12-20_22:00:59
156,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MICb,1,-,2025-12-20_22:00:59
157,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MICb,2,-,2025-12-20_22:00:59
158,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,MICb,3,-,2025-12-20_22:00:59
159,1-6,16,I76DR_1037P1,Candida albicans ATCC 90028 = CCM 8161,gentamicin,1,-,2025-12-20_22:00:59
160,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,1,>128,2025-12-20_22:00:59
161,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,2,>128,2025-12-20_22:00:59
162,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MIC,3,>128,2025-12-20_22:00:59
163,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,1,>128,2025-12-20_22:00:59
164,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,2,>128,2025-12-20_22:00:59
165,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MBC,3,>128,2025-12-20_22:00:59
166,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,1,>128,2025-12-20_22:00:59
167,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,2,>128,2025-12-20_22:00:59
168,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,MICb,3,>128,2025-12-20_22:00:59
169,1-6,1,I76NS_231P1,Staphylococcus aureus ATCC 29213 = CCM 4223,gentamicin,1,0.5,2025-12-20_22:00:59
170,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,1,>128,2025-12-20_22:00:59
171,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,2,>128,2025-12-20_22:00:59
172,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MIC,3,>128,2025-12-20_22:00:59
173,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,1,>128,2025-12-20_22:00:59
174,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,2,>128,2025-12-20_22:00:59
175,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MBC,3,>128,2025-12-20_22:00:59
176,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,1,>128,2025-12-20_22:00:59
177,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,2,>128,2025-12-20_22:00:59
178,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,MICb,3,>128,2025-12-20_22:00:59
179,1-6,2,I76NS_231P1,Enterococcus faecalis ATCC 29212 = CCM 4224,gentamicin,1,1,2025-12-20_22:00:59
180,1-6,3,I76NS_231P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,1,>128,2025-12-20_22:00:59
181,1-6,3,I76NS_231P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,2,>128,2025-12-20_22:00:59
182,1-6,3,I76NS_231P1,Escherichia coli ATCC 25922 = CCM 3954,MIC,3,>128,2025-12-20_22:00:59
183,1-6,3,I76NS_231P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,1,>128,2025-12-20_22:00:59
184,1-6,3,I76NS_231P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,2,>128,2025-12-20_22:00:59
185,1-6,3,I76NS_231P1,Escherichia coli ATCC 25922 = CCM 3954,MBC,3,>128,2025-12-20_22:00:59
